n,R,Method,Constraint,violation
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",yes,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-soln)",no,0.0
100,0.1,"StochOptForest
(apx-risk)",yes,0.0
100,0.1,"StochOptForest
(apx-risk)",yes,0.0
100,0.1,"StochOptForest
(apx-risk)",yes,0.0
100,0.1,"StochOptForest
(apx-risk)",yes,0.0
100,0.1,"StochOptForest
(apx-risk)",yes,0.0
100,0.1,"StochOptForest
(apx-risk)",yes,0.0
100,0.1,"StochOptForest
(apx-risk)",yes,0.0
